L4 | Sat Apr 21 00:47:48 2018 (531 ms) | general | Trying to start in window mode.
L4 | Sat Apr 21 00:47:48 2018 (531 ms) | general | Want to use largest window that fits on screen.
L4 | Sat Apr 21 00:47:48 2018 (531 ms) | general | Screen dimensions for largest-window mode:  1024x600

L4 | Sat Apr 21 00:47:48 2018 (532 ms) | general | The following frame rates are considered possible:
L4 | Sat Apr 21 00:47:48 2018 (532 ms) | general | 30 fps
L4 | Sat Apr 21 00:47:48 2018 (532 ms) | general | 60 fps
L4 | Sat Apr 21 00:47:48 2018 (532 ms) | general | 120 fps
L4 | Sat Apr 21 00:47:48 2018 (532 ms) | general | 144 fps
L4 | Sat Apr 21 00:47:48 2018 (536 ms) | general | Current screen configuration is 1360x768 with aspect ratio 1.77
L4 | Sat Apr 21 00:47:48 2018 (536 ms) | general | All resolutions available
L4 | Sat Apr 21 00:47:49 2018 (456 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

